roduid,UWI,lifetime_end,FAILURETYPE,H2S_CONCENTRATION,PrimarySetpoint,SecondarySetpoint,StrokeLength,Fillage,YesterdaysAverageSPM,bha_configuration,chemgroup1_any,chemgroup1_all,chemgroup2_any,chemgroup2_all,chemgroup3_any,chemgroup3_all,max_unguided_dls,dls_high_in_hole,gas_anchor_length,MAX_INCLINATION,wellbore_category,manual_scale,packer_vs_tac,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,rod_sinker_type,rod_has_guides,rod_make,rod_apigrade,ROUTE,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,CHROME_LENGTH,ENDURALLOY_LENGTH,POLY_LENGTH,NIPPLE_SET_DEPTH,pump_bore,lifetimedays,contains_imputed
GB42ZGOU04727141361583,005-64-9456,2020-02-13,Tubing,0.0,80.0,65.0,165.87895680000003,98.0,6.0,TAC_BELOW_NIP,0,0,0,0,0,0,3.0,2.12,17.12,8.35,LowTangent,N,OTHER_ANCHOR,181.01184,278.674901,99.055412,516.2194549999998,1066.565759,1582.785214,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,903,174.27,174.27,174.27,0.0,0.0,1167.96,8893.9,2,212,0
GB07ZEQY22108226742686,008-41-5950,2020-01-31,Sucker Rod Pump,0.0,76.0,0.0,144.0,68.09642792,6.599999905,TAC_BELOW_NIP,1,0,0,0,0,0,1.7413014,2.344059856,19.15,1.94,Vertical,N,OTHER_ANCHOR,72.161038,104.998128,32.532104,35.976126,8.101662,44.077788,SLICK_SINKER_BARS,True,strategize next-generation users,D,883,153.43,153.43,105.29,0.0,124.83,0.0,9847.1,1.5,943,0
GB12WDFX96521381421885,008-41-5950,2017-06-29,Sucker Rod Pump,0.0,76.0,0.0,144.0,90.61470795,6.599999905,TAC_ABOVE_NIP,1,0,1,1,0,0,2.34406,2.344059856,19.25,1.94,Vertical,N,OTHER_ANCHOR,105.051051,146.684685,41.633634,96.796117,25.561165,122.357282,SLICK_SINKER_BARS,True,strategize next-generation users,D,883,218.33,218.33,90.94,0.0,0.0,0.0,9847.8,1.5,498,0
GB12ZLMZ07727856291157,009-06-3983,2020-02-05,Sucker Rod Pump,0.0,75.0,60.0,144.0,66.31100464,5.900000095,PACKER_DONNAN,1,0,0,0,0,0,1.5448022,1.746821525,20.72,5.59,LowTangent,N,arrowset,96.813272,264.554005,101.874575,38.849859,12.286202,51.136061,SLICK_SINKER_BARS,True,strategize next-generation users,K,874,169.71,169.71,85.77,0.0,0.0,0.0,9828.7,1.5,488,0
GB91YNOU33103543108327,011-89-6677,2019-12-05,Rods,0.0,75.0,60.0,144.0,0.200000003,5.599999905,TAC_BELOW_NIP,1,0,0,0,0,0,0.89159423,3.363383788,17.15,14.17,HighTangent,N,OTHER_ANCHOR,69.921036,72.75851800000002,2.734298,46.507812,19.54881,66.084039,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,883,270.48,270.48,63.11,0.0,0.0,0.0,10194.2,1.75,691,0
GB02HODY90585337815190,011-89-6677,2016-12-01,Tubing,0.0,75.0,60.0,144.0,94.91538239,5.699999809,TAC_ABOVE_NIP,1,0,1,0,0,0,3.3633838,3.363383788,17.13,14.17,HighTangent,N,OTHER_ANCHOR,92.118189,139.838212,58.63825600000001,127.342163,37.92053,165.26269299999996,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,883,266.72,266.72,266.72,0.0,0.0,0.0,10196.4,1.75,435,0
GB42IJTD71272637992085,016-56-3331,2018-03-01,Rods,0.0,75.0,60.0,144.0,95.33571625,5.099999905,PACKER_DONNAN,1,0,0,0,0,0,2.2584543,1.7989865719999998,20.05,4.9,LowTangent,N,arrowset,82.943678,89.726967,6.387793,80.275204,31.743869,112.019074,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,193.78,193.78,193.78,0.0,248.89,0.0,9897.4,1.75,357,0
GB12IXGX42788325812638,016-56-3331,2017-03-05,Tubing,0.0,75.0,60.0,144.0,95.09583282,5.099999905,PACKER_DONNAN,1,0,0,0,0,0,2.2584543,1.7989865719999998,20.71,4.9,LowTangent,N,arrowset,47.674306,48.369931,1.208276,36.193103,14.848276,51.041379,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,176.7,176.7,176.7,0.0,251.64,0.0,10029.2,1.75,144,0
GB75OLVL82830770841696,016-56-3331,2019-02-23,Rods,0.0,75.0,60.0,144.0,96.0,5.599999905,PACKER_DONNAN,1,0,0,0,0,0,2.2584543,1.7989865719999998,20.05,4.9,LowTangent,N,arrowset,63.935537,112.069177,45.69204600000001,56.313962,78.40096199999998,134.714923,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,318.32,318.32,318.32,0.0,248.89,0.0,9897.4,1.75,254,0
GB30MTTI85695699449328,016-56-3331,2016-10-09,Tubing,0.0,75.0,60.0,144.0,92.56999969,5.199999809,PACKER_DONNAN,1,0,1,0,0,0,1.9299543,1.7989865719999998,20.72,4.9,LowTangent,N,arrowset,63.22435400000001,120.730116,59.94341,80.135838,41.387283,121.523121,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,180.83,180.83,180.83,0.0,0.0,0.0,10032.5,1.75,336,0
