roduid,UWI,FAILURETYPE,H2S_CONCENTRATION,PrimarySetpoint,SecondarySetpoint,StrokeLength,Fillage,YesterdaysAverageSPM,bha_configuration,chemgroup1_any,chemgroup1_all,chemgroup2_any,chemgroup2_all,chemgroup3_any,chemgroup3_all,max_unguided_dls,dls_high_in_hole,gas_anchor_length,MAX_INCLINATION,wellbore_category,manual_scale,packer_vs_tac,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,rod_sinker_type,rod_has_guides,rod_make,rod_apigrade,ROUTE,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,CHROME_LENGTH,ENDURALLOY_LENGTH,POLY_LENGTH,NIPPLE_SET_DEPTH,pump_bore,lifetimedays,contains_imputed
GB91YNOU33103543108327,011-89-6677,Rods,0.0,75.0,60.0,144.0,0.200000003,5.599999905,TAC_BELOW_NIP,1,0,0,0,0,0,0.89159423,3.363383788,17.15,14.17,HighTangent,N,OTHER_ANCHOR,69.921036,72.75851800000002,2.734298,46.507812,19.54881,66.084039,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,883,270.48,270.48,63.11,0.0,0.0,0.0,10194.2,1.75,691,0
GB80PSIS64223337807450,016-56-3331,Rods,0.0,75.0,60.0,144.0,84.228,5.515,PACKER_DONNAN,0,0,1,0,0,0,2.2584543,1.7989865719999998,20.72,4.9,LowTangent,N,arrowset,49.53488400000001,39.674419,-9.860465,41.53488400000001,13.697674,55.232558,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,885,178.13,178.13,178.13,0.0,0.0,0.0,10032.5,1.75,43,1
GB42IJTD71272637992085,016-56-3331,Rods,0.0,75.0,60.0,144.0,95.33571625,5.099999905,PACKER_DONNAN,1,0,0,0,0,0,2.2584543,1.7989865719999998,20.05,4.9,LowTangent,N,arrowset,82.943678,89.726967,6.387793,80.275204,31.743869,112.019074,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,193.78,193.78,193.78,0.0,248.89,0.0,9897.4,1.75,357,0
GB22DQLJ79664636385315,016-56-3331,Rods,0.0,75.0,60.0,144.0,84.228,5.515,PACKER_DONNAN,0,0,1,0,0,0,2.2584543,1.7989865719999998,20.72,4.9,LowTangent,N,arrowset,74.419162,138.209581,63.79041899999999,134.832335,55.76646700000001,190.598802,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,885,179.25,179.25,179.25,0.0,0.0,0.0,10032.5,1.75,167,1
GB75OLVL82830770841696,016-56-3331,Rods,0.0,75.0,60.0,144.0,96.0,5.599999905,PACKER_DONNAN,1,0,0,0,0,0,2.2584543,1.7989865719999998,20.05,4.9,LowTangent,N,arrowset,63.935537,112.069177,45.69204600000001,56.313962,78.40096199999998,134.714923,SLICK_SINKER_BARS,True,mesh enterprise portals,SpecialService,885,318.32,318.32,318.32,0.0,248.89,0.0,9897.4,1.75,254,0
GB33OPJN95358306184676,022-25-3044,Rods,0.0,75.0,60.0,144.03999330000005,83.19999695,7.5,TAC_BELOW_NIP,0,0,0,0,1,1,2.14,4.47,17.13,16.59,HighTangent,N,OTHER_ANCHOR,66.335378,89.41579200000002,23.703112,90.23751,22.455353,112.692863,SUCKER_RODS_W_GUIDES,True,mesh enterprise portals,SpecialService,886,273.33,273.33,167.33,0.0,258.75,0.0,9857.0,1.75,239,0
GB52JQVP65969114070730,043-85-7499,Rods,0.0,75.0,0.0,144.00045980000004,55.39999771,6.599999905,TAC_ABOVE_NIP,1,0,1,1,0,0,1.0763896000000002,1.076389575,0.0,1.31,Vertical,Y,OTHER_ANCHOR,61.615044,58.993363,-2.621681,25.570796,16.506636999999998,42.077434,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,900,104.47,104.47,104.47,0.0,0.0,0.0,10258.9,1.5,435,0
GB38BUSB10961881738592,043-85-7499,Rods,0.0,75.0,60.0,144.0,61.58730316,5.515,TAC_ABOVE_NIP,0,0,1,1,0,0,1.0763896000000002,1.076389575,0.0,1.31,Vertical,Y,OTHER_ANCHOR,48.732751,43.571265,-5.161486,26.719518,19.312108,46.031627,SLICK_SINKER_BARS,False,mesh enterprise portals,SpecialService,900,105.12,105.12,105.12,0.0,0.0,0.0,10254.7,1.5,492,1
GB25CUHN97444250489122,043-85-7499,Rods,0.0,75.0,60.0,144.0,84.228,5.515,PACKER_DONNAN,0,0,0,0,0,0,1.0763896000000002,1.076389575,20.75,1.31,Vertical,Y,arrowset,88.141414,62.57575799999999,-25.565657,51.133838,30.873838,82.007677,SLICK_SINKER_BARS,False,strategize next-generation users,D,900,106.27,106.27,106.27,0.0,0.0,0.0,10253.0,1.5,98,1
GB79ISVA19928676065662,045-18-5122,Rods,0.0,75.0,60.0,144.0,88.02941132,5.266666889,TAC_ABOVE_NIP,1,0,1,0,0,0,2.49,3.42,19.2,5.55,LowTangent,N,OTHER_ANCHOR,81.831117,136.040351,54.209235,162.75658700000002,35.491844,198.248432,SINKER_BARS_W_GUIDED_SUBS,True,strategize next-generation users,SpecialService,884,378.62,378.62,210.74,0.0,0.0,0.0,9995.4,1.75,779,0
